code_postal;nb_annonces;loyer_moyen;loyer_m2_moyen
44370.0;1;410.0;8.54
44380.0;8;1009.12;19.51
44400.0;60;890.85;15.75
44450.0;1;990.0;12.22
44470.0;35;756.23;17.67
44500.0;23;1105.52;19.36
44510.0;3;1031.67;14.14
44600.0;124;976.36;18.03
44700.0;38;684.63;18.45
44740.0;1;514.0;20.56
44760.0;1;895.0;9.84
44770.0;1;599.0;12.74
44800.0;145;691.46;16.91
44840.0;4;751.5;14.15
44850.0;3;1018.67;9.77
44980.0;8;492.12;21.27
45000.0;541;644.97;17.92
45100.0;97;603.16;17.97
45140.0;27;689.07;13.4
45160.0;50;627.62;17.44
45200.0;69;635.87;12.32
45230.0;1;520.0;10.0
45400.0;26;732.65;15.82
45500.0;24;633.46;9.39
45650.0;13;602.23;15.34
45750.0;1;433.0;16.65
45800.0;56;667.29;18.03
46000.0;63;586.95;11.03
46100.0;7;607.43;10.51
47000.0;287;595.4;13.16
47150.0;2;767.5;9.49
47200.0;61;616.82;10.39
47300.0;50;604.38;10.27
47400.0;13;508.15;10.52
47520.0;3;1123.33;10.61
48000.0;8;514.5;12.9
49000.0;414;714.24;19.84
49070.0;2;1667.5;12.2
49100.0;232;713.22;20.25
49120.0;1;301.0;4.3
49122.0;1;455.0;13.38
49130.0;4;695.0;16.12
49170.0;2;703.5;8.71
49230.0;1;800.0;7.48
49240.0;14;962.29;16.94
49270.0;2;615.0;12.5
49290.0;7;518.14;12.93
49300.0;210;612.84;13.5
49400.0;83;594.63;12.96
49500.0;3;639.67;13.43
49570.0;1;535.0;11.63
49600.0;8;560.25;12.02
49740.0;1;555.0;10.47
50000.0;31;563.58;13.13
50100.0;61;704.46;16.31
50110.0;3;806.67;13.89
50120.0;7;642.29;16.57
50130.0;2;860.0;14.04
50200.0;5;552.6;11.07
50230.0;1;800.0;12.31
50300.0;9;603.33;12.14
50350.0;1;450.0;18.0
50400.0;20;709.2;14.99
50610.0;1;470.0;16.79
50660.0;1;920.0;9.2
51000.0;77;577.36;12.83
51100.0;1095;645.01;19.25
51200.0;36;608.42;13.6
51300.0;4;490.0;8.71
51450.0;4;670.75;10.9
52000.0;15;596.53;13.73
52100.0;53;663.64;10.58
52120.0;1;678.0;5.42
53000.0;323;516.96;13.89
53100.0;23;479.22;11.16
53200.0;5;615.8;10.01
54000.0;1107;616.95;17.18
54100.0;9;776.67;16.05
54130.0;9;698.33;12.47
54140.0;18;642.61;14.14
54200.0;30;555.87;11.68
54270.0;6;711.5;10.63
54300.0;49;530.51;9.59
54320.0;6;639.17;13.26
54390.0;4;588.75;9.93
54400.0;8;771.25;18.19
54500.0;342;514.56;19.28
54520.0;53;682.43;13.05
54547.0;1;400.0;22.22
54600.0;96;968.44;18.47
54700.0;28;535.36;11.62
54800.0;5;528.0;11.33
54910.0;1;500.0;7.69
55000.0;13;561.54;10.66
55100.0;8;536.88;13.35
55240.0;1;730.0;8.11
56000.0;281;701.33;18.98
56100.0;154;747.26;18.63
56120.0;2;565.0;10.78
56170.0;1;700.0;20.59
56260.0;1;805.0;23.68
56270.0;1;1650.0;13.1
56300.0;33;637.97;12.75
56350.0;1;925.0;10.05
56400.0;34;787.82;13.67
56520.0;3;784.33;15.78
56600.0;1;716.0;11.74
56700.0;4;893.75;13.83
56800.0;4;979.5;11.27
56860.0;1;1000.0;11.49
56880.0;1;994.0;14.62
56890.0;5;713.4;12.65
57000.0;367;707.73;17.1
57050.0;37;608.49;15.07
57070.0;53;671.19;18.51
57100.0;80;962.66;17.31
57120.0;7;650.57;10.6
